dish_id,ingredient_id,qty,unit,optional,role
D096,I143,2,Stück,TRUE,side
D096,I122,1,Stück,TRUE,side
D097,I183,150,g,FALSE,main
D097,I184,150,g,FALSE,main
D097,I023,1,Stück,FALSE,main
D097,I123,2,EL,FALSE,main
D097,I025,1,TL,TRUE,side
D098,I020,400,g,FALSE,main
D098,I021,1,Stück,FALSE,main
D098,I037,50,g,FALSE,main
D098,I023,1,Stück,TRUE,side
D099,I185,200,g,FALSE,main
D099,I021,1,Stück,FALSE,main
D099,I037,50,g,FALSE,main
D099,I023,1,Stück,TRUE,side
D100,I118,400,g,FALSE,main
D100,I181,1,Würfel,FALSE,main
D100,I030,200,ml,FALSE,main
D100,I114,150,g,FALSE,main
D100,I004,80,g,FALSE,main
D101,I118,250,g,FALSE,main
D101,I114,150,g,FALSE,main
D101,I004,100,g,FALSE,main
D101,I021,1,Stück,FALSE,main
D102,I118,200,g,FALSE,main
D102,I186,250,ml,FALSE,main
D102,I021,2,Stück,FALSE,main
D102,I004,40,g,TRUE,side
D103,I149,500,g,FALSE,main
D103,I089,400,g,FALSE,main
D103,I002,150,ml,FALSE,main
D103,I095,100,g,FALSE,main
D103,I023,1,Stück,TRUE,side
D104,I149,500,g,FALSE,main
D104,I089,400,g,FALSE,main
D104,I083,150,ml,FALSE,main
D104,I158,100,g,FALSE,main
D104,I023,1,Stück,TRUE,side
D105,I187,2,Stück,FALSE,main
D105,I154,400,g,FALSE,main
D105,I089,300,g,FALSE,main
D106,I153,4,Stück,FALSE,main
D106,I046,1,Stück,FALSE,main
D106,I023,1,Stück,FALSE,main
D106,I123,2,EL,FALSE,main
D107,I045,400,g,FALSE,main
D107,I079,250,ml,FALSE,main
D107,I188,2,EL,FALSE,main
D107,I023,1,Stück,TRUE,side
D108,I045,300,g,FALSE,main
D108,I077,250,g,FALSE,main
D108,I079,250,ml,FALSE,main
D108,I188,2,EL,FALSE,main
D108,I023,1,Stück,TRUE,side
D109,I146,400,g,FALSE,main
D109,I089,300,g,FALSE,main
D109,I160,1,Bund,FALSE,main
D109,I147,80,g,TRUE,side
D110,I146,400,g,FALSE,main
D110,I189,300,g,FALSE,main
D110,I089,300,g,FALSE,main
D110,I160,1,Bund,FALSE,main
D111,I190,800,g,FALSE,main
D111,I191,300,ml,FALSE,main
D111,I192,2,Stück,FALSE,main
D111,I023,2,Stück,FALSE,main
D112,I193,800,g,FALSE,main
D112,I191,300,ml,FALSE,main
D112,I192,2,Stück,FALSE,main
D112,I023,2,Stück,FALSE,main
D113,I194,250,g,FALSE,main
D113,I046,1,Stück,FALSE,main
D113,I066,1,Stück,FALSE,main
D113,I023,1,Stück,TRUE,side
D114,I194,250,g,FALSE,main
D114,I077,250,g,FALSE,main
D114,I046,1,Stück,FALSE,main
D114,I066,1,Stück,FALSE,main
D114,I023,1,Stück,TRUE,side
D115,I020,,,FALSE,Hauptzutat
D115,I195,,,FALSE,Hauptzutat
D115,I022,,,FALSE,Hauptzutat
D115,I023,,,FALSE,Hauptzutat
D115,I162,,,TRUE,Nebenzutat
D115,I046,,,TRUE,Nebenzutat
D115,I050,,,TRUE,Nebenzutat
D115,I025,,,TRUE,Nebenzutat
D115,I196,,,TRUE,Nebenzutat
D115,I052,,,TRUE,Nebenzutat
D116,I051,,,FALSE,Hauptzutat
D116,I056,,,FALSE,Hauptzutat
D116,I003,,,FALSE,Hauptzutat
D116,I057,,,FALSE,Hauptzutat
D116,I197,,,FALSE,Hauptzutat
D117,I198,,,FALSE,Hauptzutat
D117,I156,,,FALSE,Hauptzutat
D117,I199,,,FALSE,Hauptzutat
D117,I089,,,FALSE,Hauptzutat
D117,I052,,,FALSE,Hauptzutat
